DateTime,smell_description,zipcode,smell_1,smell_2,smell_3
2016-11-14 03:00:00+00:00,"Sulfur, rotten eggs. VOC's are up at 766 ppb and rising! Very low mixing height of 200ft.",15217,egg,sulfur,
2016-11-14 04:00:00+00:00,Wood smoke,15227,smoke,,
2016-11-14 05:00:00+00:00,"Chemical, foul smell",15217,chemical,,
2016-11-14 06:00:00+00:00,Acrid coal smoke; very strong.,15206,smoke,acrid,coal
2016-11-14 08:00:00+00:00,Acrid industrial stench,15206,acrid,industrial,
2016-11-14 10:00:00+00:00,"Coal, winds S 9mph, particle counts high",15218,coal,,
2016-11-14 11:00:00+00:00,Industrial pollution,15206,industrial,,
2016-11-14 12:00:00+00:00,Industrial / Coke / Coal,15116,coke,coal,industrial
2016-11-14 12:00:00+00:00,Industrial. Sulfur. ,15217,sulfur,industrial,
2016-11-14 12:00:00+00:00,smoke,15218,smoke,,
2016-11-14 12:00:00+00:00,Sulphur ,15217,sulfur,,
2016-11-14 12:00:00+00:00,"Horrible stench this morning. Acrid, coke plant industrial smell. 13,000 pm0.5 readings on the Dylos, and Awair VOC levels above 1000. Totally unacceptable. Totally predictable. ",15217,coke,acrid,industrial
2016-11-14 12:00:00+00:00,Acrid industrial coke plant smell.,15217,coke,acrid,industrial
2016-11-14 13:00:00+00:00,Rotten eggs,15206,egg,,
2016-11-14 13:00:00+00:00,"Industrial, chemical",15217,industrial,chemical,
2016-11-14 13:00:00+00:00,"Smoky, acrid",15212,acrid,,
2016-11-14 13:00:00+00:00,"Smoky, acrid",15222,acrid,,
2016-11-14 14:00:00+00:00,Rotten egg,15206,egg,,
2016-11-14 14:00:00+00:00,"Industrial, smoke",15213,smoke,industrial,
2016-11-14 15:00:00+00:00,"Sulfur coal smell persists, wind SSE 10mph, particle counts inside and outside high, CO2 outside oner 600ppm",15218,coal,sulfur,
2016-11-14 15:00:00+00:00,"Industrial, rubber",15208,industrial,,
2016-11-14 16:00:00+00:00,Strong industrial tar and acrid coke plant smell.,15217,tar,acrid,industrial
2016-11-14 18:00:00+00:00,Burning,15201,,,
2016-11-14 23:00:00+00:00,Natural gas,15213,gas,,
2016-11-15 03:00:00+00:00,strange smell. not quite normal Coke smell,15206,coke,,
2016-11-15 04:00:00+00:00,Industrial ,15122,industrial,,
2016-11-15 04:00:00+00:00,"Industrial coke plant stench. As expected, with mixing height below 200ft and slight wind from the south. Unacceptable!! When will this stench-fest end?!???!?!?",15217,coke,industrial,
2016-11-15 11:00:00+00:00,"Industrial, Coal, Coke",15116,coke,coal,industrial
2016-11-15 12:00:00+00:00,"Acrid, smokey - detected same odor at 5.45am. Earlier odor was stronger.",15237,acrid,,
2016-11-15 12:00:00+00:00,High VOC levels all night long. Acrid industrial coke plant smell. Over 7000 pm0.5 on Dylos monitor.,15217,coke,acrid,industrial
2016-11-15 13:00:00+00:00,Industrial. ,15217,industrial,,
2016-11-15 13:00:00+00:00,Industrial,15227,industrial,,
2016-11-15 13:00:00+00:00,"Foul, industrial, chemical stink",15217,industrial,chemical,
2016-11-15 14:00:00+00:00,Burnt rubber,15222,,,
2016-11-15 14:00:00+00:00,Industrial toxins,15206,industrial,,
2016-11-15 14:00:00+00:00,Acrid industrial. Dylos pm0.5 is now above 9000.,15217,acrid,industrial,
2016-11-15 15:00:00+00:00,"Industrial, Rotten eggs",15120,egg,industrial,
2016-11-15 15:00:00+00:00,Strong industrial acrid coal stink,15206,acrid,coal,industrial
2016-11-15 15:00:00+00:00,"Strong acrid smell, kind of like burning tar. Co airport winds generally S 3-6mph. Particle counts elevated since midnight.",15218,tar,acrid,
2016-11-15 16:00:00+00:00,"Industrial, acrid, like grinding metal",15213,acrid,industrial,
2016-11-15 16:00:00+00:00,"Sulfur like, industrial smell",15213,industrial,sulfur,
2016-11-15 17:00:00+00:00,industrial ,15206,industrial,,
2016-11-15 17:00:00+00:00,Industrial coal smell,15216,coal,industrial,
2016-11-15 18:00:00+00:00,Industrial chemical ,15219,industrial,chemical,
2016-11-15 19:00:00+00:00,Industrial. Sulfur ,15084,sulfur,industrial,
2016-11-15 19:00:00+00:00,Industrial. Sulfur ,15065,sulfur,industrial,
2016-11-15 19:00:00+00:00,"Diesel fumes, exhaust",15222,diesel,,
2016-11-16 02:00:00+00:00,Eggs/sewer,15208,egg,,
2016-11-16 03:00:00+00:00,Acrid industrial stink just started up. Wind speed and direction and mixing height indicate to me that the stench will persist all night. It makes me angry that have to report this stuff so often without resolution. It has been going on like this for years!!!,15217,acrid,industrial,
2016-11-16 04:00:00+00:00,smells like metal acrid,15208,acrid,,
2016-11-16 04:00:00+00:00,Acrid coal smoke smell,15206,smoke,acrid,coal
2016-11-16 04:00:00+00:00,"Rotten eggs, maybe sewer gas",15206,egg,gas,
2016-11-16 06:00:00+00:00,Burning sulphur smell,15218,sulfur,,
2016-11-16 07:00:00+00:00,Pollution ,15206,,,
2016-11-16 09:00:00+00:00,"Acrid sulfur, winds out of S, particle counts very high inside and out",15218,acrid,sulfur,
2016-11-16 09:00:00+00:00,"Industrial, Coke, Coal",15116,coke,coal,industrial
2016-11-16 10:00:00+00:00,"Rotten egg, sulfur smell with some fuel smells mixed in.",15235,egg,sulfur,
2016-11-16 11:00:00+00:00,Coke pollution,15206,coke,,
2016-11-16 11:00:00+00:00,Fourth night in a row. Acrid industrial smell has been going on all night long.,15217,acrid,industrial,
2016-11-16 12:00:00+00:00,usual sulfur smoke ,15218,smoke,sulfur,
2016-11-16 12:00:00+00:00,Industrial steel mill ,15218,industrial,,
2016-11-16 13:00:00+00:00,"Industrial, wood",15206,industrial,,
2016-11-16 13:00:00+00:00,Industrial AGAIN!!,15218,industrial,,
2016-11-16 13:00:00+00:00,Sewage,15206,sewage,,
2016-11-16 13:00:00+00:00,Industrial ,15213,industrial,,
2016-11-16 13:00:00+00:00,coke,15206,coke,,
2016-11-16 14:00:00+00:00,Strong smokey acrid air continues.,15218,acrid,,
2016-11-16 15:00:00+00:00,Fire and brimstone,15218,,,
2016-11-16 18:00:00+00:00,Exhaust,15223,,,
2016-11-16 21:00:00+00:00,Burning,15034,,,
2016-11-16 22:00:00+00:00,Industrial metallic ,15201,industrial,,
2016-11-17 01:00:00+00:00,Rotten eggs,15207,egg,,
2016-11-17 01:00:00+00:00,"McConway & Torley, industrial, burning metal",15201,industrial,,
2016-11-17 11:00:00+00:00,Can smell sulfur on first floor and outside. Heavy fog. Particle counts definitely elevated on first floor and outside warmed air samples.,15218,sulfur,,
2016-11-17 12:00:00+00:00,Industrial..rubber burning,15122,burning,industrial,
2016-11-17 12:00:00+00:00,"industrial smell. Dylos at 30,000+ (partially due to fog)",15206,industrial,,
2016-11-17 12:00:00+00:00,"A ripe foul acrid industrial stench. Dylos is at 24,000 and Awair VOC's peaked over 1000ppb last night. This is the fifth night in a row we have had unreasonable stench.",15217,acrid,industrial,
2016-11-17 13:00:00+00:00,"Industrial, metallic, burning",15201,industrial,,
2016-11-17 13:00:00+00:00,"Industrial smrll, similar ti asphalt",15224,industrial,,
2016-11-17 13:00:00+00:00,Rotten eggs industrial ,15201,egg,industrial,
2016-11-17 13:00:00+00:00,"Industrial, acrid, been very bad since early this morning",15206,acrid,industrial,
2016-11-17 14:00:00+00:00,Metallic and burnt smelling,15201,,,
2016-11-17 14:00:00+00:00,Burning tires and overall ugly smell,15234,,,
2016-11-17 14:00:00+00:00,sulfur and ammonia,15217,sulfur,,
2016-11-17 14:00:00+00:00,"Sharp, coal tar like",15221,tar,coal,
2016-11-17 14:00:00+00:00,"Rotten eggs, industrial",15120,egg,industrial,
2016-11-17 14:00:00+00:00,Indutrial,15218,,,
2016-11-17 14:00:00+00:00,Acrid sulfur smell persists w/fog. Very high particle counts. Indoor counts still rising.,15218,acrid,sulfur,
2016-11-17 15:00:00+00:00,Industrial/chemical,15217,industrial,chemical,
2016-11-17 15:00:00+00:00,Strong acrid industrial smell.,15206,acrid,industrial,
2016-11-17 15:00:00+00:00,Sulfur smell hanging in the fog. Absolutely disgusting.,15206,sulfur,,
2016-11-17 15:00:00+00:00,"It still stinks to high heaven! Sooty, acrid, industrial. Dylos at 28,000 (possibly partially due to fog)",15217,acrid,industrial,
2016-11-17 15:00:00+00:00,eggs,15221,egg,,
2016-11-17 15:00:00+00:00,Industrial. Sulfur,15122,sulfur,industrial,
2016-11-17 16:00:00+00:00,Industrial,15232,industrial,,
2016-11-17 16:00:00+00:00,Sulfur and smoke,15213,smoke,sulfur,
2016-11-17 16:00:00+00:00,construction related,15222,,,
2016-11-17 17:00:00+00:00,Industry ,15217,,,
2016-11-17 17:00:00+00:00,Industrial sulfur smoke,15213,smoke,sulfur,industrial
2016-11-17 17:00:00+00:00,"Sulfur, fog has burned off but heave blue haze is clearly visible. Dylos readings may be at a two year high.",15218,sulfur,,
2016-11-17 17:00:00+00:00,Sulfur industrial smoke,15217,industrial,smoke,sulfur
2016-11-17 17:00:00+00:00,"Industrial, sulfurous",15206,industrial,,
2016-11-17 17:00:00+00:00,Rotten eggs ,15206,egg,,
2016-11-17 17:00:00+00:00,Smoky ,15209,,,
2016-11-17 18:00:00+00:00,still acrid,15206,acrid,,
2016-11-17 18:00:00+00:00,Acrid sulfur,15219,acrid,sulfur,
2016-11-17 18:00:00+00:00,Smog/sulfur odor,15213,smog,sulfur,
2016-11-17 23:00:00+00:00,Rotten egg,15217,egg,,
2016-11-18 00:00:00+00:00,Industrial,15260,industrial,,
2016-11-18 01:00:00+00:00,Chemically,15203,,,
2016-11-18 02:00:00+00:00,burning sulfur,15217,sulfur,,
2016-11-18 02:00:00+00:00,Very bad sulfur-like odor. Sewage-like.,15217,sewage,sulfur,
2016-11-18 02:00:00+00:00,Sulfur or stink bomb,15217,sulfur,,
2016-11-18 02:00:00+00:00,Foul rotten egg smell,15217,egg,,
2016-11-18 03:00:00+00:00,"Smells like a mix of vomit, fish food, sulfur, and acrid coke plant gasses. Horrific! Awair is over 900ppb for VOC's, Dylos is above 13000!",15217,coke,acrid,sulfur
2016-11-18 04:00:00+00:00,Industrial and also eggy.,15217,industrial,,
2016-11-18 11:00:00+00:00,"Acrid, industrial, sulfur. VOC's exceeded 1400ppb last night, over 40%higher than all other nights this week. Extraordinary stink!!!",15217,sulfur,acrid,industrial
2016-11-18 11:00:00+00:00,Rotten eggs,15237,egg,,
2016-11-18 11:00:00+00:00,"Rotten fish, dead animal",15218,,,
2016-11-18 12:00:00+00:00,Chemical- like paint fumes,15206,,,
2016-11-18 13:00:00+00:00,Industrial,15219,industrial,,
2016-11-18 13:00:00+00:00,Chemical,15207,chemical,,
2016-11-18 13:00:00+00:00,"Industrial -large cloud of smoke/smog over mconway and torley, diesel - 43rd st concrete, buncher building, and snappers warehouse trucks idling",15201,smoke,smog,industrial
2016-11-18 14:00:00+00:00,"not Coke, but burning smell.",15206,coke,,
2016-11-18 14:00:00+00:00,Industry ,15201,,,
2016-11-18 14:00:00+00:00,burning plastic,15213,,,
2016-11-18 14:00:00+00:00,Industrial acrid stink.,15206,acrid,industrial,
2016-11-18 14:00:00+00:00,"Coal , Coke",15116,coke,coal,
2016-11-18 15:00:00+00:00,Burnt rubber or onions?,15236,,,
2016-11-18 15:00:00+00:00,Very acrid outside. Winds S 9mph.,15218,acrid,,
2016-11-18 17:00:00+00:00,Sulphuric chemical smell again today in Morningside.,15206,chemical,,
2016-11-18 17:00:00+00:00,Industrial,15222,industrial,,
2016-11-18 17:00:00+00:00,Smells like burning electrical as well as asphalt. ,15144,,,
