DateTime,smell_1,smell_2,smell_3,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH,3.feed_5975.PM2_5
2017-12-03 05:00:00+00:00,sulfur,,,1081.5,19.6,39.1,19.4,30.0,56.2,103.0,0.6,30.0
2017-12-03 14:00:00+00:00,,,,4349.1,16.6,90.5,73.9,86.0,39.3,164.0,0.9,86.0
2017-12-03 15:00:00+00:00,industrial,,,2143.4,17.8,71.1,53.3,83.0,18.5,183.0,2.2,83.0
2017-12-03 15:00:00+00:00,,,,2143.4,17.8,71.1,53.3,83.0,18.5,183.0,2.2,83.0
2017-12-03 16:00:00+00:00,industrial,,,791.7,18.6,47.1,28.4,67.0,20.8,195.0,2.3,67.0
2017-12-09 14:00:00+00:00,,,,271.7,13.1,16.7,3.6,11.0,25.1,183.0,2.3,11.0
2017-12-15 13:00:00+00:00,diesel,,,526.5,29.8,47.2,17.3,20.0,45.1,135.0,0.6,20.0
2017-12-15 15:00:00+00:00,burning,,,649.7,30.5,74.6,44.0,26.0,19.7,229.0,3.1,26.0
2017-12-15 15:00:00+00:00,sulfur,,,649.7,30.5,74.6,44.0,26.0,19.7,229.0,3.1,26.0
2017-12-17 03:00:00+00:00,sulfur,,,1520.9,25.4,30.9,5.5,28.0,13.5,197.0,3.7,28.0
2017-12-17 04:00:00+00:00,sulfur,,,792.6,22.0,23.9,1.8,26.0,13.5,199.0,3.5,26.0
2017-12-17 05:00:00+00:00,coke,diesel,industrial,966.3,22.4,24.0,1.5,25.0,13.4,195.0,3.5,25.0
2017-12-17 14:00:00+00:00,coke,,,759.8,23.7,35.5,11.8,19.0,19.4,169.0,2.4,19.0
2017-12-17 17:00:00+00:00,sulfur,,,596.3,17.5,26.6,9.0,25.0,20.8,192.0,3.3,25.0
2017-12-17 19:00:00+00:00,sulfur,,,307.8,12.8,17.2,4.3,13.0,20.4,197.0,3.2,13.0
2017-12-17 19:00:00+00:00,sulfur,,,307.8,12.8,17.2,4.3,13.0,20.4,197.0,3.2,13.0
2017-12-18 05:00:00+00:00,sulfur,,,249.4,17.3,18.5,1.2,20.0,16.0,210.0,4.0,20.0
2018-01-03 15:00:00+00:00,burning,sulfur,,782.6,25.6,55.1,29.4,41.0,33.1,197.0,3.7,41.0
2018-01-07 23:00:00+00:00,sulfur,,,501.9,16.1,16.6,0.5,7.0,27.2,182.0,4.5,7.0
2018-01-12 17:00:00+00:00,,,,507.7,-1.0,-1.0,-1.0,0.0,29.7,164.0,3.4,0.0
2018-01-21 06:00:00+00:00,industrial,sulfur,,880.3,20.1,21.0,0.9,18.0,18.4,207.0,3.0,18.0
2018-01-22 12:00:00+00:00,sulfur,industrial,,443.2,19.2,21.6,2.3,13.0,24.7,190.0,2.2,13.0
2018-01-22 12:00:00+00:00,,,,443.2,19.2,21.6,2.3,13.0,24.7,190.0,2.2,13.0
2018-01-22 18:00:00+00:00,egg,industrial,,686.9,15.2,21.4,6.1,5.0,25.1,186.0,4.8,5.0
