DateTime,smell_1,smell_2,smell_3,3.feed_28.H2S_PPM,3.feed_28.SO2_PPM,3.feed_28.SIGTHETA_DEG,3.feed_28.SONICWD_DEG,3.feed_28.SONICWS_MPH,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3,3.feed_3508.PM2_5
2022-03-16 20:00:00+00:00,,,,0.0,0.001,56.2,175.0,5.8,11.0,7.0,7.0
2022-03-16 20:00:00+00:00,industrial,,,0.0,0.001,56.2,175.0,5.8,11.0,7.0,7.0
2022-03-18 15:00:00+00:00,,,,0.007,0.013,18.1,192.0,5.0,27.0,18.0,18.0
2022-03-18 21:00:00+00:00,,,,0.0,0.0,24.3,170.0,7.4,6.0,7.0,7.0
2022-03-21 10:00:00+00:00,sulfur,,,0.026,0.039,12.3,217.0,4.3,76.0,64.0,64.0
2022-03-22 04:00:00+00:00,,,,0.016,0.024,28.8,40.0,2.4,68.0,79.0,79.0
2022-03-25 14:00:00+00:00,coke,,,0.0,0.0,14.7,245.0,10.2,4.0,3.0,3.0
2022-04-11 15:00:00+00:00,industrial,chemical,,0.009,0.015,21.2,200.0,6.6,43.0,19.0,19.0
2022-04-13 13:00:00+00:00,sulfur,burning,industrial,0.007,0.015,17.0,193.0,3.5,43.0,23.0,23.0
2022-04-15 12:00:00+00:00,sulfur,industrial,,0.01,0.02,9.6,197.0,6.1,38.0,34.0,34.0
2022-04-29 12:00:00+00:00,industrial,,,0.007,0.006,44.0,293.0,1.2,29.0,16.0,16.0
2022-05-14 04:00:00+00:00,industrial,,,0.0,0.0,18.1,132.0,5.5,5.0,3.0,3.0
2022-06-29 13:00:00+00:00,industrial,,,0.008,0.011,28.6,187.0,2.6,38.0,30.0,30.0
2022-08-26 14:00:00+00:00,industrial,,,0.002,0.005,20.2,222.0,4.2,21.0,18.0,18.0
2022-09-17 02:00:00+00:00,industrial,,,0.013,0.016,44.1,215.0,1.4,59.0,28.0,28.0
2022-09-29 13:00:00+00:00,,,,0.001,0.0,19.4,30.0,4.7,11.0,7.0,7.0
2022-10-22 13:00:00+00:00,,,,0.007,0.007,-1.0,192.0,1.5,53.0,44.0,44.0
2022-10-24 22:00:00+00:00,,,,0.0,0.0,44.6,141.0,1.6,2.0,5.0,5.0
2022-10-25 14:00:00+00:00,industrial,,,0.018,0.015,48.0,194.0,1.0,101.0,58.0,58.0
2022-11-04 13:00:00+00:00,,,,0.007,0.013,25.4,186.0,2.0,46.0,35.0,35.0
2022-11-11 00:00:00+00:00,industrial,,,0.001,0.0,10.2,88.0,2.5,13.0,-1.0,-1.0
2022-11-23 14:00:00+00:00,industrial,,,0.029,0.027,20.0,192.0,2.3,85.0,85.0,85.0
2022-11-24 20:00:00+00:00,,,,0.002,0.004,38.9,168.0,4.2,8.0,20.0,20.0
2022-11-25 15:00:00+00:00,industrial,,,0.001,0.0,18.1,255.0,6.4,2.0,3.0,3.0
2022-11-27 11:00:00+00:00,egg,sulfur,,0.005,0.01,50.4,93.0,2.7,31.0,39.0,39.0
2022-12-03 04:00:00+00:00,industrial,,,0.005,0.01,26.7,186.0,4.7,26.0,12.0,12.0
2023-01-04 18:00:00+00:00,,,,0.001,0.0,34.0,76.0,2.1,2.0,2.0,2.0
2023-01-10 17:00:00+00:00,industrial,,,0.002,0.004,19.7,174.0,4.9,14.0,26.0,26.0
2023-01-10 19:00:00+00:00,industrial,,,0.005,0.007,24.3,203.0,4.7,19.0,21.0,21.0
2023-02-05 00:00:00+00:00,industrial,,,0.001,0.004,22.2,180.0,4.6,10.0,5.0,5.0
2023-02-16 02:00:00+00:00,industrial,,,0.001,0.001,14.8,233.0,6.0,28.0,2.0,2.0
2023-02-20 07:00:00+00:00,industrial,,,0.023,0.068,6.7,207.0,5.2,73.0,66.0,66.0
2023-02-27 06:00:00+00:00,coke,industrial,,0.017,0.027,42.5,254.0,3.0,82.0,67.0,67.0
2023-03-12 21:00:00+00:00,industrial,chemical,,0.0,0.0,20.3,131.0,7.2,3.0,10.0,10.0
2023-03-21 01:00:00+00:00,industrial,chemical,,0.0,0.0,12.9,234.0,4.5,6.0,4.0,4.0
2023-04-03 13:00:00+00:00,sulfur,industrial,,0.006,0.004,30.2,180.0,2.9,21.0,16.0,16.0
2023-04-20 12:00:00+00:00,egg,,,0.019,0.024,11.7,222.0,3.2,79.0,52.0,52.0
2023-04-21 07:00:00+00:00,,,,0.026,0.035,56.1,163.0,1.2,92.0,76.0,76.0
2023-05-16 16:00:00+00:00,industrial,,,0.001,0.003,-1.0,252.0,6.5,20.0,20.0,20.0
2023-05-16 16:00:00+00:00,industrial,,,0.001,0.003,-1.0,252.0,6.5,20.0,20.0,20.0
2023-05-22 14:00:00+00:00,,,,0.001,0.001,-1.0,35.0,2.1,16.0,19.0,19.0
2023-05-23 17:00:00+00:00,,,,0.001,0.001,-1.0,139.0,4.0,-1.0,17.0,17.0
2023-05-26 18:00:00+00:00,,,,0.0,0.0,-1.0,38.0,5.9,15.0,8.0,8.0
2023-05-27 01:00:00+00:00,,,,0.0,0.0,-1.0,32.0,4.8,11.0,-3.0,-1.0
2023-05-27 01:00:00+00:00,coal,industrial,,0.0,0.0,-1.0,32.0,4.8,11.0,-3.0,-1.0
2023-05-28 16:00:00+00:00,,,,0.0,0.0,-1.0,55.0,4.8,11.0,15.0,15.0
2023-06-08 02:00:00+00:00,industrial,,,0.0,0.0,-1.0,350.0,7.4,12.0,4.0,4.0
2023-06-09 02:00:00+00:00,,,,0.0,0.002,-1.0,35.0,1.2,24.0,14.0,14.0
2023-06-19 02:00:00+00:00,industrial,chemical,,0.0,0.0,-1.0,91.0,1.9,16.0,-1.0,-1.0
2023-06-25 05:00:00+00:00,industrial,chemical,,0.003,0.0,-1.0,221.0,2.2,18.0,-1.0,-1.0
2023-06-29 05:00:00+00:00,chemical,,,0.013,0.003,-1.0,199.0,2.0,136.0,129.0,129.0
2023-07-12 06:00:00+00:00,,,,0.011,0.018,-1.0,211.0,3.8,38.0,23.0,23.0
2023-08-01 01:00:00+00:00,coal,,,0.0,0.0,-1.0,329.0,4.0,6.0,0.0,0.0
2023-08-08 00:00:00+00:00,coke,,,0.002,0.003,-1.0,225.0,6.9,4.0,0.0,0.0
2023-08-12 03:00:00+00:00,coke,industrial,,0.0,0.001,-1.0,211.0,2.7,36.0,24.0,24.0
2023-08-15 01:00:00+00:00,smoke,coal,industrial,0.0,0.0,-1.0,334.0,2.3,7.0,12.0,12.0
2023-08-25 02:00:00+00:00,coke,,,0.001,0.001,-1.0,197.0,4.4,-1.0,-1.0,-1.0
2023-09-04 04:00:00+00:00,,,,0.018,0.017,-1.0,212.0,3.6,-1.0,-1.0,20.3
2023-09-06 13:00:00+00:00,industrial,,,0.01,0.002,-1.0,196.0,2.8,-1.0,-1.0,18.6
2023-10-20 17:00:00+00:00,,,,0.003,0.002,-1.0,221.0,5.0,-1.0,-1.0,6.7
2023-10-23 21:00:00+00:00,,,,0.006,0.004,-1.0,86.0,2.6,-1.0,-1.0,6.6
2023-10-26 23:00:00+00:00,industrial,,,0.005,0.002,-1.0,190.0,2.1,-1.0,-1.0,8.0
2023-11-06 19:00:00+00:00,,,,0.004,0.006,-1.0,207.0,10.4,-1.0,-1.0,9.3
2023-11-11 20:00:00+00:00,egg,,,0.0,0.0,-1.0,358.0,5.9,-1.0,-1.0,6.5
2023-11-13 04:00:00+00:00,burning,coal,,0.025,0.011,-1.0,144.0,0.6,-1.0,-1.0,28.2
2023-11-15 01:00:00+00:00,sewage,,,0.033,0.013,-1.0,219.0,3.0,-1.0,-1.0,28.8
2023-11-26 19:00:00+00:00,,,,0.0,0.001,-1.0,178.0,6.0,-1.0,-1.0,8.3
2023-11-30 14:00:00+00:00,,,,0.012,0.007,-1.0,200.0,6.0,-1.0,-1.0,20.7
2023-12-01 03:00:00+00:00,smoke,,,0.022,0.02,-1.0,212.0,4.8,-1.0,-1.0,31.7
2023-12-09 14:00:00+00:00,,,,0.002,0.005,-1.0,193.0,5.9,-1.0,-1.0,5.4
2023-12-21 07:00:00+00:00,,,,0.016,0.012,-1.0,108.0,2.4,-1.0,-1.0,35.6
